suggested_id,level,primary_pattern,all_forms_seen,meaning,sources,num_sources
n5_082,N5,い-adjectives,い-adjectives,i-adjectives,"JLPTsensei,MaruMori",2
n5_083,N5,かか,〜か～か | か〜か,or,"JLPTsensei,MaruMori",2
n5_084,N5,しかし,しかし,but; however,"JLPTsensei,MaruMori",2
n5_085,N5,じゃない,じゃない | じゃない・ではない,to not be (am not; is not; are not),"JLPTsensei,MaruMori",2
n5_086,N5,する,する,to do,"MaruMori,Neocities",2
n5_087,N5,だ,だ | だ / です | だ・です,"to be (am, is, are, were, used to)","JLPTsensei,MaruMori,Neocities",3
n5_088,N5,だろう,だろう | だろう 1 | だろう 2,I think; it seems; probably; right?,"JLPTsensei,MaruMori,Neocities",3
n5_089,N5,ちゃいけない,ちゃいけない・じゃい… | ちゃいけない・じゃいけない,must not do (spoken Japanese),"JLPTsensei,MaruMori",2
n5_090,N5,でも,でも,but; however,"JLPTsensei,MaruMori",2
n5_091,N5,な-adjectives,な-adjectives,na-adjectives,"JLPTsensei,MaruMori",2
n5_092,N5,ないでください,〜ないで | 〜ないでください | ないで | ないでください,please don't do,"JLPTsensei,MaruMori,Neocities",3
n5_093,N5,なくちゃ,なくちゃ | なくちゃ・なきゃ,must do; need to; gotta do,"JLPTsensei,MaruMori",2
n5_094,N5,なる,なる,to become,"JLPTsensei,MaruMori,Neocities",3
n5_095,N5,にいく,にいく,go to do,"JLPTsensei,Neocities",2
n5_096,N5,のが下手,のが下手,to be bad at doing something,"JLPTsensei,Neocities",2
n5_097,N5,の中で[A]が一番,の中で[A]が一番 | ～が一番,"out of this group, [A] is best","JLPTsensei,MaruMori",2
n5_098,N5,ほうがいい,ほうがいい | ほうがいい 1 | ほうがいい 2 | ～ほうがいい,had better; it'd be better to; should~,"JLPTsensei,MaruMori,Neocities",3
n5_099,N5,まだ,まだ,still; not yet,"JLPTsensei,MaruMori,Neocities",3
n5_100,N5,もう,もう,already; anymore; again; other,"JLPTsensei,MaruMori,Neocities",3
n5_101,N5,よりほうが,より〜ほうが | より～ほうが,[A] is more than [B],"JLPTsensei,MaruMori",2
n5_102,N5,一緒に,一緒に,together,"JLPTsensei,MaruMori",2
n4_108,N4,あまりない,あまり○○ない | あまり～ない,"not very, not much","JLPTsensei,MaruMori,Neocities",3
n4_109,N4,いらっしゃる,いらっしゃる,to be; to come; to go (polite version),"JLPTsensei,Neocities",2
n4_110,N4,おください,お○○ください | お～ください,please do (honorific),"JLPTsensei,Neocities",2
n4_111,N4,おになる,お○○になる | お～になる,to do (honorific),"JLPTsensei,Neocities",2
n4_112,N4,かい,かい,turns a sentence into a yes/no question,"JLPTsensei,Neocities",2
n4_113,N4,かしら,かしら | ～かしら,I wonder,"JLPTsensei,MaruMori,Neocities",3
n4_114,N4,かな,かな | ～かな,I wonder; should I?,"JLPTsensei,MaruMori,Neocities",3
n4_115,N4,がする,がする,to smell; hear; taste,"JLPTsensei,Neocities",2
n4_116,N4,がり,〜がり | がり,personality; tend to~; sensitivity towards~,"JLPTsensei,MaruMori",2
n4_117,N4,が必要,〜が必要 | が必要,need; necessary,"JLPTsensei,MaruMori",2
